vectorizer,FS,classifier,resampling,accuracy,precision,recall,f1
Word2Vec,cbow,logR,None,0.9160962072155412,0.49962970390280315,0.3494187499855318,0.40479759045287267
Word2Vec,cbow,DT,None,0.8643848288621646,0.2226674587521156,0.23194942727788306,0.2262255463287925
Word2Vec,cbow,SVM,None,0.9228492136910268,0.5826664717437054,0.37938333693912535,0.44878491824249783
Word2Vec,cbow,RF,None,0.9099907493061979,0.647893773348766,0.1615236699021154,0.21615424193929864
Word2Vec,cbow,ADA,None,0.9067530064754856,0.4108801104707137,0.2185795497525814,0.2720640616916539
Word2Vec,cbow,logR,Und,0.8070305272895467,0.2921498244968089,0.5898605115694104,0.36923150905243746
Word2Vec,cbow,DT,Und,0.6073080481036077,0.13426085455597742,0.3324185296368617,0.16125181950111803
Word2Vec,cbow,SVM,Und,0.7914893617021277,0.2697002631243345,0.5875898424482097,0.3493880463679195
Word2Vec,cbow,RF,Und,0.8014801110083256,0.3031082619559213,0.508410611830158,0.34770274045729194
Word2Vec,cbow,ADA,Und,0.741073080481036,0.2131523521892941,0.49064206000102595,0.27587875711370613
Word2Vec,cbow,logR,Ove,0.8349676225716929,0.29833982924205754,0.5589267451112915,0.3695329522490383
Word2Vec,cbow,DT,Ove,0.8122109158186864,0.1930233493665894,0.2952469776263201,0.22533277310648128
Word2Vec,cbow,SVM,Ove,0.9170212765957447,0.5342362538362704,0.3896332727709365,0.44427835712850255
Word2Vec,cbow,RF,Ove,0.9120259019426457,0.4852767794994462,0.3858528965070397,0.4211495595948564
Word2Vec,cbow,ADA,Ove,0.9083256244218316,0.44714280307159704,0.31965583732377945,0.3615053362812656
Word2Vec,skip,logR,None,0.918686401480111,0.5354879700451199,0.3347888339896216,0.4032351908247813
Word2Vec,skip,DT,None,0.8616096207215541,0.21320683167643495,0.21790932859026538,0.21507387688089014
Word2Vec,skip,SVM,None,0.9233117483811286,0.6360847358172238,0.38340408491049593,0.4534293416446377
Word2Vec,skip,RF,None,0.9090656799259944,0.6041817169041374,0.14994625107676984,0.20356036813763534
Word2Vec,skip,ADA,None,0.9053654024051804,0.5116464023689256,0.20716431529070195,0.2652866653346398
Word2Vec,skip,logR,Und,0.8154486586493987,0.28541489537594616,0.5934203326714479,0.369328381543902
Word2Vec,skip,DT,Und,0.6318223866790009,0.1330743887989153,0.31100750933085475,0.15966543110739095
Word2Vec,skip,SVM,Und,0.8093432007400555,0.28528031672898985,0.6100442863276608,0.37025294254558483
Word2Vec,skip,RF,Und,0.7987974098057354,0.3123956227438536,0.5109101621490724,0.3506881609453411
Word2Vec,skip,ADA,Und,0.7526364477335801,0.21085631022056747,0.4564122967210537,0.26825602537524595
Word2Vec,skip,logR,Ove,0.8360777058279371,0.29916850597515354,0.5487350337303561,0.36872425237186357
Word2Vec,skip,DT,Ove,0.8109158186864015,0.19720255841785628,0.3113086805709154,0.23265494571024153
Word2Vec,skip,SVM,Ove,0.9181313598519889,0.5241058393724227,0.4402212561536032,0.47447087506515034
Word2Vec,skip,RF,Ove,0.9170212765957447,0.551061536134281,0.40038059558022526,0.4461981041424777
Word2Vec,skip,ADA,Ove,0.9084181313598519,0.4968574953067272,0.35644045767343624,0.4038174356852225
