,vectorizer,FS,classifier,resampling,accuracy,precision,recall,f1
google_log_w,pretrained,google news,logR,None,0.9151711378353377,0.4944273511263321,0.34781010828554143,0.40113627754245584
google_DT_w,pretrained,google news,DT,None,0.8480111008325625,0.17567993031848514,0.18983106229385277,0.18191737188918056
google_svm_w,pretrained,google news,SVM,None,0.9238667900092506,0.5922298784096163,0.4080671016213115,0.47197667821066425
google_rf_w,pretrained,google news,RF,None,0.9049028677150787,0.6042766768026284,0.1183776120621839,0.15245559205058493
google_ada_w,pretrained,google news,ADA,None,0.903422756706753,0.40712695220892786,0.14943771078499718,0.18998739893219468
google_log_u,pretrained,google news,logR,Und,0.8086031452358927,0.3003106892441716,0.6290692503922747,0.3898184671430985
google_DT_u,pretrained,google news,DT,Und,0.5360777058279371,0.12199110229967723,0.30212374019055194,0.13961655818685964
google_svm_u,pretrained,google news,SVM,Und,0.8172062904717854,0.3124788808488373,0.6585206426374626,0.4059688202168255
google_rf_u,pretrained,google news,RF,Und,0.8000925069380204,0.3754786739319368,0.45722451044908935,0.3429789344635923
google_ada_u,pretrained,google news,ADA,Und,0.5685476410730805,0.12684734533187206,0.31771697882662214,0.14897129724968272
google_log_o,pretrained,google news,logR,Ove,0.8451433857539316,0.31730791885718557,0.5710006988048183,0.3941828939075108
google_DT_o,pretrained,google news,DT,Ove,0.7578168362627197,0.156158291422305,0.26608290100375365,0.1851608026753601
google_svm_o,pretrained,google news,SVM,Ove,0.9226641998149862,0.5666147580648718,0.4113190138393927,0.4708754567420214
google_rf_o,pretrained,google news,RF,Ove,0.9181313598519889,0.6295121905159177,0.3108057864572282,0.38312343531159077
google_ada_o,pretrained,google news,ADA,Ove,0.8988899167437557,0.3936601818715791,0.3091661865801134,0.3429136021732111
glove_log_w,pretrained,Glove,logR,None,0.9173913043478261,0.5497871595562741,0.36529449119922375,0.4261025509986856
glove_DT_w,pretrained,Glove,DT,None,0.8459759481961147,0.16701373930913935,0.18357253356327966,0.17404156482711514
glove_svm_w,pretrained,Glove,SVM,None,0.925254394079556,0.6538187560651902,0.39999421726770995,0.4685016876804864
glove_rf_w,pretrained,Glove,RF,None,0.9041628122109158,0.6123548809961117,0.10631650210077445,0.13385063630938082
glove_ada_w,pretrained,Glove,ADA,None,0.8928769657724329,0.3094568597149383,0.16107145858426955,0.19563026817408039
glove_log_u,pretrained,Glove,logR,Und,0.7904717853839038,0.2707801631377116,0.6046771961057634,0.3558374845926222
glove_DT_u,pretrained,Glove,DT,Und,0.496577243293247,0.11229367898720086,0.27615468712940305,0.12340054657302116
glove_svm_u,pretrained,Glove,SVM,Und,0.7938020351526365,0.28804697367578974,0.6345029800170576,0.3766804005523141
glove_rf_u,pretrained,Glove,RF,Und,0.7777983348751156,0.3850376357901679,0.4687226554212672,0.34845247011643143
glove_ada_u,pretrained,Glove,ADA,Und,0.561054579093432,0.12641469743250078,0.32244500551483657,0.14874481342000742
glove_log_o,pretrained,Glove,logR,Ove,0.8256244218316374,0.2858985471828808,0.560631348344052,0.3614781238151395
glove_DT_o,pretrained,Glove,DT,Ove,0.7574468085106383,0.15676067665492513,0.2672350045198243,0.18680805425673083
glove_svm_o,pretrained,Glove,SVM,Ove,0.9196114708603145,0.5999787270573052,0.38326777925016503,0.4426063423219535
glove_rf_o,pretrained,Glove,RF,Ove,0.913968547641073,0.6417440330931615,0.2841464733848691,0.35776515991504876
glove_ada_o,pretrained,Glove,ADA,Ove,0.8945420906567992,0.3816599977436351,0.29945126948670125,0.3317684619432482
